FlowUID,FromUID,ToUID,FromName,ToName,MassType,Volume_m3,VolumeUnit,PeriodStart,PeriodEnd,EvidenceClass,Confidence,SourceURL,Class,Outcome,Method,Notes,Published
FLW_0001,SRC_HIS_001,OS_OS_009,Follobanen,Åsland riggområde,rock,3000000,pfm3,2015,2022,evidenced,high,"Dirty Business projects sheet, SRC_HIS_001 row",E1,received,stated in source document,The project's own database row. Åsland was not a facility in the database until now.,FALSE
FLW_0002,SRC_OS_011,VF_HM_001,Regjeringskvartalet C-blokk,NOAH Solutions Langøya,contaminated,97222,m3 (from tonnes at 1.8 t/m3),2021,2022,evidenced,high,https://www.tungt.no/article/view/877546/regjeringskvartalet_har_kvittet_seg_med_11000_lastebillass_alunskifer,E1,received,stated in source document,"11 000 lorry loads of alum shale. Multimodal: truck to Grønlikaia, barge to Holmestrand.",FALSE
FLW_0003,SRC_OS_002,BU_LI_003,Ny vannforsyning Oslo,Gilhusbukta,rock,666667,m3 (from tonnes at 1.8 t/m3),2020,2025,evidenced,high,https://www.logistikkinside.no/bilimport-drammen-havn-gjenbruk-av-steinmasser/gjenbruker-12-millioner-tonn-stein-i-drammen-havn/1312413,E1,received,stated in source document,Used as preload for Eidos' 200 daa land reclamation.,FALSE
FLW_0004,BU_LI_003,BU_DR_001,Gilhusbukta,Drammen Havn Holmen,rock,666667,m3 (from tonnes at 1.8 t/m3),2025,2026,evidenced,high,https://www.logistikkinside.no/bilimport-drammen-havn-gjenbruk-av-steinmasser/gjenbruker-12-millioner-tonn-stein-i-drammen-havn/1312413,E1,in progress,stated in source document,"RE-EXPORT. The same mass moving a second time, to build 80 daa of new harbour. Proves a receiver is not always a sink.",FALSE
FLW_0005,PENDING_KJELLER,AK_AS_001,"Kjeller flyplass, PFAS-sanering (Forsvarsbygg)",Lindum Oredalen,contaminated,4444,m3 (from tonnes at 1.8 t/m3),2024,2025,evidenced,high,https://www.globe.uio.no/include/publikasjoner-media/rapporter/rapport-1-25-fra-deponi-til-gjenvinning_ferdig.pdf ; https://www.air24.no/posts/ingen-kommentar-til-prisoverslag-pa-4-mrd-kroner-for-opprydding,E1,CONTRACTED THEN REFUSED,stated in source document,CONTRACT SIGNED JULY 2024 for up to 8 000 t; application 23.09.2024; REFUSED by Statsforvalteren April 2025 over contaminated leachate. The commercial edge existed before the regulatory one was denied. Destination still undetermined publicly.,FALSE
FLW_0006,PENDING_KJELLER,PENDING_UNKNOWN,"Kjeller flyplass, PFAS-sanering (Forsvarsbygg)",unknown approved deponi,contaminated,12000,m3,2024,2025,evidenced,medium,https://norskbyggedata.no/no/project/ljosanering-og-forurensede-masser-kjeller-flyplass-673131321,E2a,destination unknown,stated in source document,"Contractor H2 Miljo AS, client Forsvarsbygg, 15 MNOK ex VAT, start Oct 2024, ~14 months. Scope ~18 000 m3 PFAS-contaminated masses of which ~12 000 m3 carted to 'godkjente deponier', unnamed. 17 000 m3 tied to the brannovingsfelt. THE OPEN EDGE: follow Forsvarsbygg's sluttrapport, due 1 April 2026.",FALSE
FLW_0007,SRC_VI_001,BU_LI_003,E18 Vestkorridoren,Gilhusbukta,rock,,pfm3,2020,2028,evidenced,high,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf,E2a,designated,stated in source document,28 km in the plan. Project total 2 214 500 pfm3; volume per receiver not split in the plan.,FALSE
FLW_0008,SRC_VI_001,BU_DR_001,E18 Vestkorridoren,Drammen Havn Holmen,rock,,pfm3,2020,2028,evidenced,high,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf,E2a,designated,stated in source document,30 km in the plan. Project total 2 214 500 pfm3; volume per receiver not split in the plan.,FALSE
FLW_0009,SRC_VI_001,AK_AS_001,E18 Vestkorridoren,Lindum Oredalen,contaminated,,pfm3,2020,2028,evidenced,high,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf,E2a,designated,stated in source document,soft clay and contaminated masses. Project total 2 214 500 pfm3; volume per receiver not split in the plan.,FALSE
FLW_0010,SRC_VI_001,BU_LI_001,E18 Vestkorridoren,Egge I - inert deponi,contaminated,,pfm3,2020,2028,evidenced,high,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf,E2a,designated,stated in source document,hazardous fraction. Project total 2 214 500 pfm3; volume per receiver not split in the plan.,FALSE
FLW_0011,SRC_VI_001,BU_LI_005,E18 Vestkorridoren,Lyngås grustak,demolition,35000,pfm3,2020,2028,evidenced,high,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf,E2a,designated,stated in source document,"asphalt, Franzefoss/Lyngås. Project total 2 214 500 pfm3; volume per receiver not split in the plan.",FALSE
FLW_0012,SRC_VI_003,AK_FR_001,E134 Oslofjordforbindelsen 2,Måna massedeponi,rock,103300,pam3,2025,2032,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/e134-oslofjordtunnel/soknad-om-tillatelse.pdf.pdf,E2a,designated,stated in source document,Permanent deposit inside the project's own regulated area.,FALSE
